time_s,alt_km,mach,g_load,q_kPa
0.0,0.000,0.000,1.204,0.000
1.0,0.001,0.006,1.204,0.002
2.0,0.004,0.012,1.204,0.010
3.0,0.009,0.018,1.204,0.022
4.0,0.016,0.024,1.204,0.039
5.0,0.025,0.029,1.204,0.061
6.0,0.036,0.035,1.204,0.088
7.0,0.049,0.041,1.204,0.120
8.0,0.064,0.047,1.204,0.156
9.0,0.081,0.053,1.204,0.197
10.0,0.100,0.059,1.204,0.243
11.0,0.121,0.065,1.204,0.293
12.0,0.144,0.071,1.204,0.348
13.0,0.169,0.077,1.204,0.407
14.0,0.196,0.082,1.204,0.471
15.0,0.225,0.088,1.204,0.540
16.0,0.256,0.094,1.204,0.612
17.0,0.289,0.100,1.204,0.689
18.0,0.324,0.106,1.204,0.770
19.0,0.361,0.112,1.204,0.854
20.0,0.400,0.118,1.204,0.943
21.0,0.441,0.124,1.204,1.036
22.0,0.484,0.130,1.204,1.132
23.0,0.529,0.136,1.204,1.232
24.0,0.576,0.142,1.204,1.335
25.0,0.625,0.148,1.204,1.442
26.0,0.676,0.154,1.204,1.552
27.0,0.729,0.160,1.204,1.665
28.0,0.784,0.166,1.204,1.781
29.0,0.841,0.172,1.204,1.899
30.0,0.900,0.178,1.204,2.021
31.0,0.961,0.184,1.204,2.145
32.0,1.024,0.190,1.204,2.272
33.0,1.089,0.196,1.204,2.400
34.0,1.156,0.203,1.204,2.531
35.0,1.225,0.209,1.204,2.664
36.0,1.296,0.215,1.204,2.799
37.0,1.369,0.221,1.204,2.935
38.0,1.444,0.227,1.204,3.073
39.0,1.521,0.233,1.204,3.212
40.0,1.600,0.239,1.204,3.353
41.0,1.681,0.246,1.204,3.494
42.0,1.764,0.252,1.204,3.637
43.0,1.849,0.258,1.204,3.779
44.0,1.936,0.264,1.204,3.923
45.0,2.025,0.271,1.204,4.067
46.0,2.116,0.277,1.204,4.211
47.0,2.209,0.283,1.204,4.355
48.0,2.304,0.290,1.204,4.499
49.0,2.401,0.296,1.204,4.642
50.0,2.500,0.303,1.204,4.785
51.0,2.601,0.309,1.204,4.927
52.0,2.704,0.315,1.204,5.069
53.0,2.809,0.322,1.204,5.210
54.0,2.916,0.328,1.204,5.349
55.0,3.025,0.335,1.204,5.487
56.0,3.136,0.341,1.204,5.624
57.0,3.249,0.348,1.204,5.758
58.0,3.364,0.355,1.204,5.892
59.0,3.481,0.361,1.204,6.023
60.0,3.600,0.368,1.204,6.152
61.0,3.721,0.375,1.204,6.278
62.0,3.844,0.381,1.204,6.403
63.0,3.969,0.388,1.204,6.525
64.0,4.096,0.395,1.204,6.644
65.0,4.225,0.402,1.204,6.760
66.0,4.356,0.409,1.204,6.873
