time_s,altitude_m,velocity_m_s,gamma_deg,mass_kg,fuel_remaining_kg,G_load,q_Pa,thrust_N
0.00,10.00,70.00,15.00,10000.00,1000.00,1.000,2997.72,53904.86
1.00,28.12,72.25,11.17,9995.69,995.69,0.529,3186.98,53904.86
2.00,42.12,75.10,7.59,9991.38,991.38,0.545,3437.40,53824.22
3.00,52.03,78.50,4.37,9987.08,987.08,0.552,3751.04,53756.74
4.00,58.02,82.38,1.62,9982.78,982.78,0.551,4127.96,53702.27
5.00,60.35,86.65,-0.60,9978.49,978.49,0.543,4565.84,53660.27
6.00,59.45,91.21,-2.24,9974.20,974.20,0.530,5059.74,53629.85
7.00,55.89,95.95,-3.30,9969.91,969.91,0.513,5602.05,53609.63
8.00,50.37,100.77,-3.77,9965.63,965.63,0.498,6182.52,53597.80
9.00,43.74,105.55,-3.69,9961.34,961.34,0.488,6788.57,53592.14
10.00,36.94,110.20,-3.09,9957.05,957.05,0.488,7405.62,53589.98
11.00,31.01,114.62,-1.99,9952.76,952.76,0.500,8017.55,53588.35
12.00,27.03,118.73,-0.45,9948.48,948.48,0.525,8607.35,53583.97
13.00,26.10,122.46,1.50,9944.19,944.19,0.561,9157.83,53573.44
14.00,29.31,125.75,3.81,9939.91,939.91,0.604,9652.33,53553.28
15.00,37.66,128.54,6.43,9935.63,935.63,0.652,10075.62,53520.11
16.00,52.05,130.80,9.32,9931.35,931.35,0.700,10414.66,53470.78
17.00,73.23,132.49,12.43,9927.08,927.08,0.744,10659.27,53402.52
18.00,101.74,133.60,15.72,9922.81,922.81,0.784,10802.72,53313.10
19.00,137.93,134.13,19.14,9918.55,918.55,0.815,10841.97,53200.88
20.00,181.91,134.08,22.65,9914.31,914.31,0.839,10777.79,53064.98
21.00,233.54,133.46,26.22,9910.08,910.08,0.853,10614.50,52905.24
22.00,292.51,132.31,29.80,9905.86,905.86,0.859,10359.57,52722.27
23.00,358.25,130.65,33.36,9901.66,901.66,0.855,10022.93,52517.37
24.00,430.09,128.51,36.87,9897.47,897.47,0.845,9616.30,52292.46
25.00,507.20,125.94,40.30,9893.31,893.31,0.828,9152.41,52049.95
26.00,588.66,122.98,43.63,9889.17,889.17,0.805,8644.27,51792.61
27.00,673.52,119.68,46.84,9885.04,885.04,0.779,8104.58,51523.43
28.00,760.82,116.07,49.91,9880.94,880.94,0.750,7545.22,51245.50
29.00,849.62,112.20,52.82,9876.87,876.87,0.720,6976.93,50961.87
30.00,939.02,108.10,55.57,9872.81,872.81,0.689,6409.07,50675.45
31.00,1028.18,103.82,58.14,9868.78,868.78,0.659,5849.56,50388.97
32.00,1116.36,99.38,60.00,9864.77,864.77,0.631,5304.91,50104.91
33.00,1202.42,94.86,60.00,9860.79,860.79,0.596,4784.90,49825.45
34.00,1284.58,90.43,60.00,9856.82,856.82,0.538,4305.85,49553.81
35.00,1362.89,86.06,60.00,9852.88,852.88,0.493,3864.38,49295.08
36.00,1437.42,81.76,60.00,9848.96,848.96,0.460,3457.49,49048.89
37.00,1508.23,77.52,60.00,9845.05,845.05,0.438,3082.52,48814.88
38.00,1575.36,73.34,60.00,9841.16,841.16,0.427,2737.12,48592.70
39.00,1638.88,69.21,59.65,9837.29,837.29,0.424,2419.19,48382.07
40.00,1698.60,65.15,58.80,9833.44,833.44,0.427,2128.91,48182.69
41.00,1754.33,61.21,57.38,9829.60,829.60,0.434,1866.89,47994.91
42.00,1805.88,57.44,55.28,9825.77,825.77,0.448,1633.79,47819.15
